뉴스제목,주가변동
"코스닥 외국인 순매수,도 상위20종목",0
급등 후 숨고르기…나스닥 1.12% 하락 마감,0
오전장 기술적 분석 특징주 A(코스닥),0
"코스닥 기관 순매수,도 상위20종목",0
오전장 특징주★(코스닥),0
14일 장마감 후 주요 종목뉴스,0
"랠리 후 숨고르기, 뉴욕증시 하락…나스닥 1.12%↓",0
오후장 기술적 분석 특징주 B(코스닥),0
내일의 이슈&테마 스케줄,0
국내 채권금리 동향(마감),0
국내 환율 마감시황,0
뉴욕 마감시황,0
미국 테마시황,0
국제유가 마감시황,0
인플레 정점론 지속에 일제히 상승,0
물가 정점론에 나스닥 1.1%↑…폴란드 리스크 '촉각',0
미중 긴장 완화·美 PPI 완화에 대부분 상승,0
증시요약(9) - 기술적 분석 특징주 A(코스닥),0
예상 밑돈 PPI에 인플레 정점 기대↑...다우지수 300p 넘게 급등,0
다가오는 연말…대형주의 시간 온다,0
美 10월 PPI에  '물가 정점론' 확산 속 연은 총재들 '엇갈린' 발언 눈길,0
"필라델피아 연은 총재 ""과도한 긴축보단 적절한 시기에 금리 인상 멈춰야""",0
타겟 실적 실망감 속 미 주가지수 선물 하락...타겟·카니발↓ VS 알리바바·로우스↑,0
증시요약(10) - 기술적 분석 특징주 B(코스닥),0
증시요약(6) - 특징 상한가 및 급등종목,0
오전장 기술적 분석 특징주 B(코스피),0
증시요약(7) - 기술적 분석 특징주 A(코스피),0
오전장 기술적 분석 특징주 B(코스닥),0
"코스피200, 롯데제과 들어오고 삼양홀딩스 빠진다",0
증시요약(8) - 기술적 분석 특징주 B(코스피),0
오전장 기술적 분석 특징주 A(코스피),0
오전장 기술적 분석 특징주 A(코스피),0
"""PPI도 둔화"" 인플레 정점 기대에 상승…나스닥 1.45%↑",0
오전장 기술적 분석 특징주 A(코스닥),0
오후장 기술적 분석 특징주 A(코스피),0
"코스피 기관 순매수,도 상위20종목",0
오전장 기술적 분석 특징주 B(코스닥),0
도매물가 둔화에 뉴욕증시 상승 마감…나스닥 1.45%↑,0
"코스피 외국인 순매수,도 상위20종목",0
오전장 기술적 분석 특징주 A(코스닥),0
"세계 중앙銀, 금리 인상 가속페달서 발뗀다…韓도 속도조절론",0
오후장 기술적 분석 특징주 A(코스닥),0
미 생산자물가 예상보다 둔화…긴축 속도조절 힘 받나(종합),0
오후장 기술적 분석 특징주 B(코스닥),0
"""월드컵 한다 치킨株 시켜라""",0
", 몸집 커졌지만 이익 줄었다… 누적 순이익 12% 감소",0
코스피 상승률 상위 50종목,0
오전장 기술적 분석 특징주 B(코스피),0
국내 환율 마감시황,0
미국 테마시황,0
국내 채권금리 동향(마감),0
오늘의 이슈&테마 스케줄,0
뉴욕 마감시황,0
제2중동의 봄…'脫석유화' 바람타고 700조원 거대시장 개방(종합),0
국제유가 마감시황,0
개장전★주요이슈 점검,0
연준 금리인상 우려 되살아나며 일제히 하락,0
"""이젠 기업 이익 하향이 온다""…증시 랠리 기대 낮춘 월가",0
타깃의 우울한 경고에 유통주 '털썩'…S&P 0.8%↓,0
증시요약(8) - 기술적 분석 특징주 B(코스피),0
"美 PCAOB, 뉴욕증시 상장 中기업 회계감사 자료 모두 제공받아 - 소식통",0
'유통공룡' 타깃 경고에 하락…나스닥 1.54%↓,0
증시요약(10) - 기술적 분석 특징주 B(코스닥),0
오전장 기술적 분석 특징주 B(코스피),0
증시요약(6) - 특징 상한가 및 급등종목,0
증시요약(9) - 기술적 분석 특징주 A(코스닥),0
"피델리티 ""연준이 금리인상 멈춰도 증시엔 호재 아냐""",0
오전장 기술적 분석 특징주 A(코스닥),0
오전장 기술적 분석 특징주 B(코스닥),0
오후장 기술적 분석 특징주 B(코스피),0
오전장 기술적 분석 특징주 A(코스피),0
증시요약(7) - 기술적 분석 특징주 A(코스피),0
오후장 기술적 분석 특징주 A(코스닥),0
"코스피, 2440선 하락 마감...경기 둔화 우려↑",0
"""증시 위축돼 '금투세 도입' 힘들어...2년 유예해야""",0
"월러 연준 이사 ""금리 인상 완화에 열려 있어""…속도조절론에 무게",0
"美연준 이사들, 금리인상 중단 가능성 일축…""내년까지 더올려야""",0
장 초반 짙은 하락세…나스닥 1.4%↓,0
타깃 경고에 뉴욕증시 하락 마감…나스닥 1.54%↓,0
지정학적 우려에 일제히 하락,0
"코스피 기관 순매수,도 상위20종목",0
오후장 기술적 분석 특징주 B(코스피),0
美긴축 속도조절 약화...원·달러 환율 1340원 돌파,0
"""내년 연준, 금리 인상 쉬었다가 다시 올릴 수도…고금리 얼마나 끌고갈지가 관건""",0
"코스피 외국인 순매수,도 상위20종목",0
외국인·기관 매도에 1.4%↓…반도체株 부진,0
"외국계 순매수,도 상위종목(코스닥) 금액기준",0
"알루코, 현대로템 네옴시티 수혜 영향…20%↑",0
국내 환율 마감시황,1
국내 채권금리 동향(마감),1
주간 이슈&테마 스케줄,1
장 초반 하락세…나스닥 0.65%↓,1
"(영상)바이든 “韓기업, 美경제 기여… IRA이행에 고려”",1
뉴욕 마감시황,1
미국 테마시황,1
국제유가 마감시황,1
"눈먼 돈 된 세월호 지원금, 김정은 찬양에도 썼다니",1
전세 사기 피해 눈덩이...이참에 확실한 대책 내놓길,1
증시요약(6) - 특징 상한가 및 급등종목,1
증시요약(9) - 기술적 분석 특징주 A(코스닥),1
증시요약(7) - 기술적 분석 특징주 A(코스피),1
오전장 기술적 분석 특징주 A(코스닥),1
오후장 기술적 분석 특징주 A(코스피),1
오전장 기술적 분석 특징주 A(코스피),1
증시요약(10) - 기술적 분석 특징주 B(코스닥),1
오전장 기술적 분석 특징주 A(코스피),1
증시요약(8) - 기술적 분석 특징주 B(코스피),1
오후장 기술적 분석 특징주 A(코스닥),1
오전장 기술적 분석 특징주 A(코스닥),1
장중 주요 종목 공시,1
14일 장마감 후 주요 종목뉴스,1
"美 민주당 선전이 증시엔 악재? …""월가에 우려감↑""",1
"코스피 외국인 순매수,도 상위20종목",1
"코스닥 외국인 순매수,도 상위20종목",1
"코스피 기관 순매수,도 상위20종목",1
오후장 기술적 분석 특징주 B(코스피),1
오전장 기술적 분석 특징주 B(코스피),1
증시요약(5) - 특징 종목(코스닥),1
오전장 기술적 분석 특징주 B(코스피),1
"갈림길 선 코스피… ""단기 조정후 상승"" vs ""속단 일러"" 팽팽",1
수능일인 17일 외환시장 1시간 늦은 오전 10시 개장,1
코스닥 하락률 상위 50종목,1
"""코스피, 2500선 쉽지 않네""…기관 순매도에 하락 마감",1
오후장 기술적 분석 특징주 B(코스닥),1
美연준 긴축완화 기대감에 증시 '훈풍'...빈살만 방한도 '주목',1
전일 3분기 실적 발표 주요 기업(2022.11.11 발표),1
오전장 기술적 분석 특징주 B(코스닥),1
"외국계 순매수,도 상위종목(코스피) 수량기준",1
美 10월 생산자물가지수 8.0%↑… 인플레 고점 지났나,0
"예탁원, 미수령 주식·배당금 243억원 주인 찾기 종료",0
내년 감사인 대거 교체…삼정-SK 안진-현대차 삼일-LG,0
15일 장 마감 후 주요 종목뉴스,0
"""질문이 넌센스입니다?"" …IR 기본 모르는 운용사",0
"뉴보텍, 우대가격 유지의무 위반에 18.6억 부과…""효력정지 등 소송 진행""",0
"거래소, 내달 초부터 상장사 퇴출제도 완화한다",0
"서명석 ""과도한 규제는 투자자보호 역행""",0
연준 위원 “들뜨지 마라”…美 증시 경계론 고개,0
아시아 주요 증시 동향(11월15일),0
‘위탁매매·IB에 안주’…혁신 멈추자,0
"기재차관 ""시장 여건상 `금투세 2년 유예` 필요…관철돼야""",0
공매도 줄어드는 삼성전자…7만전자 넘볼까,0
"15일, 기관 코스닥에서 노바렉스(-14.81%), 대한광통신(-10.46%) 등 순매도",0
"15일, 외국인 코스닥에서 에코프로(-1.63%), 에코프로비엠(+0.78%) 등 순매도",0
"15일, 기관 코스닥에서 에스엠(+3.5%), 에이비엘바이오(+9.58%) 등 순매수",0
"15일, 코스닥 외국인 순매수상위에 오락·문화 업종 5종목",0
"15일, 기관 거래소에서 LG에너지솔루션(-1.32%), KODEX 코스닥150선물인버스(-3.19%) 등 순매도",0
"15일, 거래소 외국인 순매도상위에 운수장비 업종 4종목",0
"15일, 거래소 기관 순매수상위에 전기,전자 업종 3종목",0
"15일, 외국인 거래소에서 LG에너지솔루션(-1.32%), 삼성전자(+0.81%) 등 순매수",0
“버핏이 샀으면 확실하다”...TSMC 주가 8% 급등,0
직원에게 평균 1천만원 주식 무상으로 주는 에코프로,0
"HDC현대산업개발, 관양동 현대아파트지구 재건축정비사업 가계약 체결",0
"아센디오, 30억원 규모 지상파 드라마·영화 제작용역 계약 체결",0
"메테우스자산운용, 네오위즈타워 매입 완료",0
아센디오 제작 'KBS 드라마 스페셜 2022' 첫 방영,0
긴축 뚫고 '깜짝실적'···소부장株 달린다,0
장 마감 후 기업공시,0
코스피·코스닥 투자주체별 매매동향(11월15일-최종치),0
"미래에셋그룹,  전문경영인 체제 강화하며 파격 인사",0
"율호, 3Q 누적 매출 590억원…전년비 83%↑",0
"""오스카헬스, 내년 의료보험 흑자 기대…추락한 주가 매력적""",0
롯데그룹 신용도에 경고등…등급전망 줄하향,0
"""美주택경기 내년에도 어렵다…홈디포 주식 살 때 아냐""",0
"타깃, 3분기도 `어닝쇼크`…""연말~내년까지 어려운 여건 지속""",0
"롯데케미칼, 일진머티리얼즈 인수금 확보 속도",0
"""퀄컴, 악재 거의 다 반영…이젠 주식 사도 될 때""",0
홈디포 이어 경쟁사 로우스도 깜짝실적…EPS·매출 전망 상회,0
"한국전력, 30조 적자의 늪…경기하강 우려 여전",0
믿었던 `탄소효율 ETF` 마이너스 왜?,0
통신·게임 `불황 무풍지대`,0
89년생을 신임 임원으로…미래에셋그룹 파격 인사,0
더 젊어진 미래에셋그룹 1989년생 여성임원 탄생,0
"나신평, 롯데그룹 등급전망 줄줄이 ‘부정적’ 하향",0
16일 장 마감 후 주요 종목뉴스,0
아시아 주요 증시 동향(11월 16일),0
"4달 연속 둔화한 PPI에 美 증시 환호…바이든 ""인플레 둔화 시작""",0
"서유석 ""증권·운용 두루 경험…스케일업에 집중""",0
"대출비교 플랫폼, 대환대출 시스템과 시너지 낼까",0
"5% 중반까지 오른 CP금리…""유동성 공급 확대 필요""",0
"""하루짜리 단기채로 연명""...`살얼음판` 자금시장",0
'3고(고금리·고물가·고환율)'에 적자기업 다시 늘었다,0
"VN지수 31.00p(3.40%) 급등 942.90p '금융주 강세, 베트남증시 급락 뒤 급등…널뛰기 장세' [KVINA",0
"금융당국, 대체거래소 설립인가 추진…25일 인가설명회 개최",0
320% 폭등…'오일 머니 보따리' 빈 살만 방한에 들썩인 종목,0
올들어 65% 폭락·정리해고 칼바람… 훈풍 언제불까,0
3분기 1000원어치 팔아 38원 남겨… 내년 상반기까지 `어닝쇼크`,0
"16일, 기관 코스닥에서 오스템임플란트(-3.42%), 에코프로비엠(-3.52%) 등 순매도",0
"16일, 코스닥 외국인 순매도상위에 제약 업종 3종목",0
장 초반 짙은 하락세…나스닥 1.4%↓,0
"유진그룹, 메쉬코리아 인수 추진...메쉬 ""자금 마련 마무리 단계""",0
“월마트보다는 타깃이 美 소비상황 잘 반영”,0
"""노르웨지언 크루즈, 주가 너무 비싸""…단숨에 두 단계 투자의견 강등",0
"`美최대 백화점` 메이시스, 3분기 깜짝실적…연 이익전망도 상향",0
"업비트 등 4대 거래소, 위믹스 투자유의종목 지정 1주일 재연장",0
팬데믹 기간 상장기업들 줄줄이 파산·매각·적자… ‘IPO 붐’의 몰락,0
"미래에셋자산운용, 글로벌 네트워크 및 관리체계 강화 위한 세미나 개최",0
"미래에셋증권, 2022 빅데이터페스티벌 성료",0
"""엔비디아, 데이터센터 호조에 게이밍 매출도 곧 바닥 찍는다""",0
"이베스트투자증권, 싱가포르거래소(SGX) 파생상품 트레이딩 멤버십 취득",0
"""타깃, 재고 줄이기 갈 길 멀다""…월가 줄줄이 투자의견 하향",0
"39일째 쉬지 않고 오른 CP 금리, 대체 왜",0
"""이젠 기업 이익 하향이 온다""…증시 랠리 기대 낮춘 월가",0
코스닥150지수 편입 소식에 몸값 오른 신라젠,0
국내 거래소에도 튄 FTX 불똥… 고팍스 예치서비스 출금지연,0
"""금투세는 투자심리 악영향"" 증권가도 유예 촉구",0
반도체 대장주에 증시 훈풍… 리츠 빼고 `후끈`,0
"국민연금, 미국·유럽에 낸 세금 일부 돌려받는다…""운용역들 성과""",0
"구희진 ""섬김의 리더십으로 업계이익 대변할 것""",0
`제2 중동 특수` 기대감에 증시 `들썩`,0
"與,""금투세 법은 개미 목 졸라 상장폐지로 가는 법안""",0
아시아 주요 증시 동향(11월 17일),0
"피델리티 ""연준이 금리인상 멈춰도 증시엔 호재 아냐""",0
가을은 '키움'의 계절···야구도 실적도 '명승부',0
'마이크론 쇼크'에 삼전도 2%↓…이재용 효과로 만회할까,0
장 마감 후 기업공시,0
"17일, 기관 코스닥에서 엘앤에프(-3.06%), 티쓰리(-14.72%) 등 순매도",0
"17일, 외국인 코스닥에서 엘앤에프(-3.06%), 에코프로(-2.39%) 등 순매도",0
"17일, 기관 코스닥에서 삼강엠앤티(0.00%), 레고켐바이오(+4.06%) 등 순매수",0
장 초반 하락세…나스닥 0.65%↓,1
"금감원 ""독일 헤리티지 펀드 마무리 못해…추후 결론""",1
"도이체방크, 타겟 '매수' 유지...재고로 인해 비용 증가해 수익성은 하락할 것",1
"셀피글로벌, 3Q 누적 영업익 18억...전년比 흑자전환",1
'4700억 환매 중단' 헤리티지 펀드 분조위 열었지만…결론 못 내,1
"금감원, 독일 헤리티지 펀드 분조위 결론 못내려…추후 논의",1
"""테바, 제너릭 낮은 경쟁력에 성장 불투명…주식 줄여라""",1
"""BoA 주가 상승여력 거의 없다""…투자의견 `매수`→`중립`",1
리오프닝에 호텔롯데 3분기 영업이익 1천82억원…흑자 전환,1
"""금투세 당장 유예하라""… 거센 개미 목소리에 두손 든 민주당",1
FTX 후폭풍… 코인 자체발행 컴투스 15%↓·위메이드 6%↓,1
"한화투자증권, 3분기 영업익 61.3억… 전년비 84.3%↓",1
"""코인 연쇄 파산 없도록""…바이낸스, 산업회복기금 만든다(종합)",1
메디트 인수전 새로고침…‘오히려 좋아’ VS ‘가시밭길’,1
"애드바이오텍, 22억원 규모 카나리아바이오 지분 취득",1
"""국내주식 소수점 매매, 삼성전자·LG엔솔이 절반 이상""",1
"""FTX 사태 막으려면 고객 예치금 별도 기관 맡겨야""",1
"금융위 부위원장 ""가상자산 거래소 이용자 자산 보호장치 필요""",1
"카이스트, 자본시장 뱅커들 교수 채용...EY 한효석 파트너·CS 이경인 대표",1
"""코인업계 파산 도미노 막는다""…바이낸스, 산업회복기금 조성",1
코스피 불안한 반등…'찐 가치주' 담은 ETF 주목,1
백약이 무효…환매청구권도 `찬밥`,1
"""한전, 내년 원가부담 완화로 적자 크게 줄어든다""",1
S&P500 지수서 빅테크 비중 2020년 이후 최저,1
"신한자산운용, 한국판 SCHD 월 배당 ETF 신규 상장",1
"에스디생명공학, 이뮤노바이오텍 지분 27.87% 53억원에 인수",1
연말 앞두고 공매도 청산하는 외국인...증시 반등 이끌어,1
"김해준 ""투자세제만 바꿔도 자본시장 성장""",1
아시아 주요 증시 동향(11월 14일),1
"펀드 사태, 끝이 보인다…`獨 헤리티지` 전액 배상되나",1
